Country,Currency,Capital
Algeria,Kenya Shillings,Colfax
Haiti,Iceland Kronur,Rialto
Portugal,Taiwan New Dollars,Santa Maria
Micronesia,Australia Dollars,Foster City
Aruba,Mexico Pesos,Laguna Beach
Djibouti,Greece Drachmae,Lake Forest
"Korea, North",Sudan Pounds,Hidden Hills
Jordan,Austria Schillings,Los Gatos
Yugoslavia,Palladium Ounces,Woodlake
Afghanistan,Netherlands Guilders,Long Beach
Niger,United Kingdom Pounds,Crescent City
Oman,Pakistan Rupees,Covina
Sao Tome and Principe,Venezuela Bolivares Fuertes,Fremont
Nepal,Sweden Kronor,Arroyo Grande
Micronesia,Bermuda Dollars,Moorpark
Azerbaijan,Portugal Escudos,Clayton
Seychelles,Pakistan Rupees,Isleton
Kiribati,Deutsche (Germany) Marks,Cupertino
Gibraltar,Bahamas Dollars,Claremont
Saint Lucia,CFA BCEAO Francs,Santa Clara
Peru,Romania Lei,Montclair
Romania,Sweden Kronor,Oxnard
Moldova,United Kingdom Pounds,Pomona
Netherlands Antilles,Portugal Escudos,Tulare
Thailand,Norway Kroner,Rio Dell
French Polynesia,Italy Lire,Nevada City
Iceland,United Kingdom Pounds,Los Alamitos
Thailand,Egypt Pounds,Willows
Nicaragua,United States Dollars,Canyon Lake
Algeria,Colombia Pesos,Covina
Georgia,Special Drawing Rights (IMF),Clearlake
Dominican Republic,Sweden Kronor,South Gate
Liechtenstein,Mauritius Rupees,Lompoc
Libya,Euros,Temecula
Mali,Morocco Dirhams,Anaheim
Timor-Leste,Indonesia Rupiahs,Oceanside
Cote d'Ivoire,Bahrain Dinars,Canyon Lake
Estonia,Bahamas Dollars,Shasta Lake
Belgium,Oman Rials,Norwalk
United States of America,Pakistan Rupees,Grover Beach
Lithuania,Germany Deutsche Marks,Winters
Tajikistan,Palladium Ounces,Millbrae
Brunei Darussalam,Portugal Escudos,Inglewood
Yugoslavia,Silver Ounces,Hollister
Honduras,IMF Special Drawing Right,Petaluma
Central African Republic,Switzerland Francs,Anaheim
Iran,Albania Leke,Wheatland
Anguilla,Saudi Arabia Riyals,Goleta
Denmark,Zambia Kwacha,La Cañada Flintridge
Burundi,China Yuan Renminbi,Rancho Mirage
Gambia,Australia Dollars,Thousand Oaks
Uzbekistan,Romania Lei,San Rafael
Qatar,Croatia Kuna,Agoura Hills
Egypt,Romania New Lei,Sanger
Aruba,Hungary Forint,Lindsay
Samoa,Deutsche (Germany) Marks,Orinda
Mauritius,Luxembourg Francs,Claremont
Panama,Czech Republic Koruny,Morgan Hill
Western Sahara,Bahrain Dinars,Yucaipa
Vanuatu,Holland (Netherlands) Guilders,Calexico
Canada,Sri Lanka Rupees,Stanton
Trinidad and Tobago,CFA BCEAO Francs,San Leandro
Greece,Poland Zlotych,Maywood
"Korea, North",Poland Zlotych,Ceres
Taiwan,Euros,Rancho Cucamonga
British Indian Ocean Territory,Chile Pesos,Piedmont
British Indian Ocean Territory,Venezuela Bolivares,Costa Mesa
Canada,Argentina Pesos,Yorba Linda
Hong Kong,Norway Kroner,Hemet
Brunei Darussalam,Czech Republic Koruny,Chino Hills
Uzbekistan,Italy Lire,Azusa
Gabon,Greece Drachmae,Colfax
Mauritius,Venezuela Bolivares,West Covina
Turkey,Taiwan New Dollars,Newport Beach
Timor-Leste,CFA BCEAO Francs,Laguna Beach
Svalbard and Jan Mayen Islands,Hong Kong Dollars,Modesto
Rwanda,Sweden Kronor,Bradbury
Djibouti,Slovakia Koruny,Exeter
Paraguay,Bulgaria Leva,Inglewood
Mexico,Deutsche (Germany) Marks,Kingsburg
Myanmar,United Kingdom Pounds,Shafter
Eritrea,Fiji Dollars,San Bruno
Gibraltar,Sudan Pounds,Ione
Colombia,Fiji Dollars,Red Bluff
Canada,CFA BCEAO Francs,Scotts Valley
Laos,Bermuda Dollars,Trinidad
Costa Rica,Jamaica Dollars,Cloverdale
Åland,Singapore Dollars,Porterville
Eritrea,France Francs,Pomona
Niue,Switzerland Francs,Arcata
Sweden,Luxembourg Francs,Carpinteria
Saint Vincent and the Grenadines,Bulgaria Leva,Delano
Palau,Netherlands Guilders,Martinez
Brunei Darussalam,Sudan Pounds,Menlo Park
Guam,Kenya Shillings,Indio
Azerbaijan,Portugal Escudos,Susanville
Rwanda,Special Drawing Rights (IMF),Shasta Lake
Cambodia,Deutsche (Germany) Marks,San Francisco
Switzerland,IMF Special Drawing Right,Concord
Burundi,Czech Republic Koruny,Weed
